"Sample_barcode","rep","done_box_number","Extraction_day_1_date","Tube_number","QC_pass","initial.conc","dilution.H2O","dilution.sample","final.conc","plate.order"
"19A0442","1",5,2020-07-06,24,TRUE,778.138,14,6,233.4414,216
"19A0409","1",5,2020-07-07,1,TRUE,793.856,14,6,238.1568,237
"19A0367","1",5,2020-07-07,2,TRUE,715.031,14,6,214.5093,108
"19A0443","1",5,2020-07-07,3,TRUE,859.433,15,5,214.85825,228
"19A0171","1",5,2020-07-07,4,TRUE,1276.64,16,4,255.328,51
"19A0140","1",5,2020-07-07,5,TRUE,384.616,9,11,211.5388,375
"19A0325","1",5,2020-07-07,6,TRUE,660.656,13,7,231.2296,91
"19A0389","1",5,2020-07-07,7,TRUE,479.67,11,9,215.8515,202
"19A0017","1",5,2020-07-07,8,TRUE,782.424,14,6,234.7272,388
"19A0447","1",5,2020-07-07,9,TRUE,302.969,6,14,212.0783,116
"19A0427","1",5,2020-07-07,10,TRUE,854.764,15,5,213.691,194
"19A0097","1",5,2020-07-07,11,TRUE,1116.474,16,4,223.2948,433
"19A0202","1",5,2020-07-07,12,TRUE,756.193,14,6,226.8579,3
"19A0434","1",5,2020-07-07,13,TRUE,701.155,14,6,210.3465,227
"19A0398","1",5,2020-07-07,14,TRUE,871.006,15,5,217.7515,73
"19A0361","1",5,2020-07-07,15,TRUE,632.563,13,7,221.39705,203
"19A0450","1",5,2020-07-07,16,TRUE,923.111,15,5,230.77775,37
"19A0440","1",5,2020-07-07,17,TRUE,530.193,12,8,212.0772,65
"19A0315","1",5,2020-07-07,18,TRUE,666.64,13,7,233.324,192
"19A0172","1",5,2020-07-07,19,TRUE,1058.131,16,4,211.6262,82
"19A0088","1",5,2020-07-07,20,TRUE,655.236,13,7,229.3326,166
"19A0275","1",5,2020-07-07,21,TRUE,888.232,15,5,222.058,437
"19A0253","1",5,2020-07-07,22,TRUE,569.588,12,8,227.8352,193
"19A0058","1",5,2020-07-07,23,TRUE,697.847,14,6,209.3541,214
"19A0139","1",5,2020-07-07,24,TRUE,899.173,15,5,224.79325,104
"19A0147","1",5,2020-07-08,1,TRUE,918.309,15,5,229.57725,145
"19A0234","1",5,2020-07-08,2,TRUE,595.894,13,7,208.5629,303
"19A0196","1",5,2020-07-08,3,TRUE,426.374,10,10,213.187,197
"19A0290","1",5,2020-07-08,4,TRUE,601.114,13,7,210.3899,245
"19A0051","1",5,2020-07-08,5,TRUE,610.779,13,7,213.77265,244
"19A0235","1",5,2020-07-08,6,TRUE,673.023,14,6,201.9069,340
"19A0395","1",5,2020-07-08,7,TRUE,881.346,15,5,220.3365,114
"19A0216","1",5,2020-07-08,9,TRUE,484.345,11,9,217.95525,248
"19A0144","1",5,2020-07-08,10,TRUE,1384.494,17,3,207.6741,288
"19A0419","1",5,2020-07-08,11,TRUE,790.254,14,6,237.0762,83
"19A0109","1",5,2020-07-08,12,TRUE,1371.811,17,3,205.77165,152
"19A0173","1",5,2020-07-08,13,TRUE,1008.17,16,4,201.634,155
"19A0188","1",5,2020-07-08,14,TRUE,562.114,12,8,224.8456,387
"19A0170","1",5,2020-07-08,15,TRUE,1327.615,16,4,265.523,329
"19A0185","1",5,2020-07-08,16,TRUE,787.655,14,6,236.2965,90
"19A0311","1",5,2020-07-08,17,TRUE,702.157,14,6,210.6471,281
"19A0186","1",5,2020-07-08,18,TRUE,708.398,14,6,212.5194,312
"19A0338","1",5,2020-07-08,21,TRUE,624.615,13,7,218.61525,414
"19A0307","1",6,2020-07-08,22,TRUE,929.484,15,5,232.371,420
"19A0227","1",6,2020-07-08,23,TRUE,890.95,15,5,222.7375,118
"19A0403","1",6,2020-07-08,24,TRUE,694.569,14,6,208.3707,111
"19A0155","1",6,2020-07-09,1,TRUE,757.251,14,6,227.1753,406
"19A0445","1",6,2020-07-09,2,TRUE,1120.42,16,4,224.084,359
"19A0125","1",6,2020-07-09,3,TRUE,962.711,15,5,240.67775,290
"19A0029","1",6,2020-07-09,4,TRUE,413.289,10,10,206.6445,276
"19A0037","1",6,2020-07-09,5,TRUE,1446.745,17,3,217.01175,84
"19A0201","1",6,2020-07-09,6,TRUE,1035.388,16,4,207.0776,230
"19A0169","1",6,2020-07-09,7,TRUE,449.86,11,9,202.437,170
"19A0415","1",6,2020-07-09,8,TRUE,501.59,12,8,200.636,240
"19A0437","1",6,2020-07-09,9,TRUE,1063.806,16,4,212.7612,229
"19A0230","1",6,2020-07-09,10,TRUE,956.757,15,5,239.18925,172
"19A0366","1",6,2020-07-09,11,TRUE,838.469,15,5,209.61725,5
"19A0339","1",6,2020-07-09,12,TRUE,1131.953,16,4,226.3906,360
"19A0126","1",6,2020-07-09,13,TRUE,1713.146,17,3,256.9719,131
"19A0359","1",6,2020-07-09,14,TRUE,983.719,15,5,245.92975,16
"19A0005","1",6,2020-07-09,15,TRUE,1440.658,17,3,216.0987,271
"19A0038","1",6,2020-07-09,16,TRUE,937.763,15,5,234.44075,403
"19A0358","1",6,2020-07-09,17,TRUE,940.273,15,5,235.06825,171
"19A0232","1",6,2020-07-09,18,TRUE,818.592,15,5,204.648,55
"19A0371","1",6,2020-07-09,20,TRUE,1043.349,16,4,208.6698,268
"19A0049","1",6,2020-07-09,21,TRUE,675.951,14,6,202.7853,119
"19A0106","1",6,2020-07-09,22,TRUE,642.015,13,7,224.70525,262
"19A0208","1",6,2020-07-09,23,TRUE,1173.598,16,4,234.7196,413
"19A0402","1",6,2020-07-09,24,TRUE,1053.659,16,4,210.7318,379
"19A0293","1",6,2020-07-16,1,TRUE,1051.094,16,4,210.2188,255
"19A0354","1",6,2020-07-16,2,TRUE,816.029,15,5,204.00725,213
"19A0305","1",6,2020-07-16,3,TRUE,971.817,15,5,242.95425,66
