"Sample.Name","done_box_number","Tube_number","Plate.Name","Well","dilution.H2O","dilution.sample"
"19A0168",1,3,"SC_RNA_04","E12",17,3
"Neg_Control",NA,NA,"SC_RNA_04","F01",NA,NA
"19A0117",1,13,"SC_RNA_04","F02",16,4
"19A0453",4,5,"SC_RNA_04","F03",13,7
"19A0234",5,2,"SC_RNA_04","F04",13,7
"19A0412",3,6,"SC_RNA_04","F05",13,7
"19A0181",7,12,"SC_RNA_04","F06",15,5
"19A0292",4,24,"SC_RNA_04","F07",16,4
"19A0209",1,18,"SC_RNA_04","F08",15,5
"19A0281",7,17,"SC_RNA_04","F09",10,10
"19A0212",2,15,"SC_RNA_04","F10",17,3
"19A0156",3,15,"SC_RNA_04","F11",16,4
"19A0239",7,2,"SC_RNA_04","F12",11,9
"19A0200",6,2,"SC_RNA_04","G01",15,5
"19A0125",6,3,"SC_RNA_04","G02",15,5
"19A0190",2,23,"SC_RNA_04","G03",16,4
"19A0386",4,12,"SC_RNA_04","G04",12,8
"19A0186",5,18,"SC_RNA_04","G05",14,6
"19A0399",1,8,"SC_RNA_04","G06",17,3
"19A0352",3,18,"SC_RNA_04","G07",15,5
"19A0066",4,13,"SC_RNA_04","G08",15,5
"19A0314",4,11,"SC_RNA_04","G09",14,6
"19A0413",7,13,"SC_RNA_04","G10",15,5
"19A0445",6,2,"SC_RNA_04","G11",16,4
"19A0372",6,21,"SC_RNA_04","G12",10,10
"19A0157",6,9,"SC_RNA_04","H01",11,9
"Pos_Control",NA,NA,"SC_RNA_04","H02",NA,NA
"19A0329",5,14,"SC_RNA_04","H03",15,5
"19A0151",2,13,"SC_RNA_04","H04",16,4
"19A0163",6,18,"SC_RNA_04","H05",14,6
"19A0128",4,3,"SC_RNA_04","H06",8,12
"19A0256",2,13,"SC_RNA_04","H07",15,5
"19A0420",1,3,"SC_RNA_04","H08",17,3
"19A0158",7,23,"SC_RNA_04","H09",16,4
"19A0401",2,24,"SC_RNA_04","H10",15,5
"19A0339",6,12,"SC_RNA_04","H11",16,4
"19A0177",7,24,"SC_RNA_04","H12",10,10
"19A0245",4,15,"SC_RNA_05","A01",10,10
"19A0060",3,14,"SC_RNA_05","A02",16,4
"19A0197",7,9,"SC_RNA_05","A03",8,12
"19A0004",4,6,"SC_RNA_05","A04",16,4
"19A0264",6,6,"SC_RNA_05","A05",13,7
"19A0291",6,5,"SC_RNA_05","A06",11,9
"19A0407",3,7,"SC_RNA_05","A07",16,4
"19A0152",3,8,"SC_RNA_05","A08",15,5
"19A0263",4,11,"SC_RNA_05","A09",17,3
"19A0275",5,21,"SC_RNA_05","A10",15,5
"19A0238",3,10,"SC_RNA_05","B01",14,6
"19A0375",5,7,"SC_RNA_05","B02",14,6
"19A0322",7,7,"SC_RNA_05","B03",10,10
"19A0405",1,14,"SC_RNA_05","B04",18,2
"19A0052",1,9,"SC_RNA_05","B05",16,4
"19A0317",5,21,"SC_RNA_05","B06",14,6
"19A0048",3,2,"SC_RNA_05","B07",13,7
"Neg_Control",NA,NA,"SC_RNA_05","B08",NA,NA
"19A0064",5,20,"SC_RNA_05","B09",13,7
"19A0135",5,9,"SC_RNA_05","B10",14,6
