Year	Plot	Geno	Rep	Superblock	Block	Row	Col	Check	new	C	Anthesis	Silking	Planting	da	ds	a_s	GDD_a	GDD_s
2015	15A0169	P39	1	2	3	48	12	99	1	Panel	7/31/15	8/1/15	5/29/15	63	64	-1	1760	1780
2015	15A0170	MDM-17	1	2	3	48	11	99	1	Panel	8/6/15	8/7/15	5/29/15	69	70	-1	1874	1889
2015	15A0171	Wh10049R	1	2	3	47	12	99	1	Panel	7/31/15	7/31/15	5/29/15	63	63	0	1760	1760
2015	15A0172	IL788a	1	2	3	47	11	99	1	Panel	7/30/15	7/31/15	5/29/15	62	63	-1	1737	1760
2015	15A0173	IL729a	1	2	3	46	12	99	1	Panel	8/8/15	8/8/15	5/29/15	71	71	0	1902	1902
2015	15A0174	IL713a	1	2	3	46	11	99	1	Panel	8/11/15	8/13/15	5/29/15	74	76	-2	1963	1994
2015	15A0175	P39(New)	1	2	3	45	12	99	1	Panel	8/1/15	7/30/15	5/29/15	64	62	2	1780	1737
2015	15A0176	Wh07165R	1	2	3	45	11	99	1	Panel	8/5/15	8/2/15	5/29/15	68	65	3	1859	1801
2015	15A0177	EP85	1	2	4	44	12	99	1	Panel	8/5/15	8/5/15	5/29/15	68	68	0	1859	1859
2015	15A0178	FILL	1	2	4	44	11	99	1	Check	7/25/15	7/24/15	5/29/15	57	56	1	1614	1594
2015	15A0179	A685	1	2	4	43	12	99	1	Panel	8/9/15	8/10/15	5/29/15	72	73	-1	1920	1942
2015	15A0180	Check3	1	2	4	43	11	3	0	Check	8/5/15	8/4/15	5/29/15	68	67	1	1859	1842
2015	15A0181	P39b	1	2	4	42	12	99	1	Panel	8/7/15	8/11/15	5/29/15	70	74	-4	1889	1963
2015	15A0182	MDM-20	1	2	4	42	11	99	1	Panel	8/9/15	8/8/15	5/29/15	72	71	1	1920	1902
2015	15A0183	Ia453	1	2	4	41	12	99	1	Panel	8/10/15	8/16/15	5/29/15	73	79	-6	1942	2067
2015	15A0184	Check2	1	2	4	41	11	2	0	Check	8/10/15	8/12/15	5/29/15	73	75	-2	1942	1979
2015	15A0185	IL761a	1	2	4	40	12	99	1	Panel	8/13/15	8/13/15	5/29/15	76	76	0	1994	1994
2015	15A0186	FILL	1	2	4	40	11	99	1	Check	7/25/15	7/24/15	5/29/15	57	56	1	1614	1594
2015	15A0187	Wh96015	1	2	4	39	12	99	1	Panel	8/1/15	8/1/15	5/29/15	64	64	0	1780	1780
2015	15A0188	Wuh09183i	1	2	4	39	11	99	1	Panel	7/30/15	7/30/15	5/29/15	62	62	0	1737	1737
2015	15A0189	Wuh07481i	1	2	4	38	12	99	1	Panel	8/2/15	8/4/15	5/29/15	65	67	-2	1801	1842
2015	15A0190	P39LE-261	1	2	4	38	11	99	1	Panel	7/30/15	7/31/15	5/29/15	62	63	-1	1737	1760
2015	15A0191	Wh08042	1	2	4	37	12	99	1	Panel	8/1/15	8/1/15	5/29/15	64	64	0	1780	1780
2015	15A0192	Ia2256	1	2	4	37	11	99	1	Panel	8/4/15	8/5/15	5/29/15	67	68	-1	1842	1859
