Row ID,Germplasm,Number of Pollinations,First Harvest GDD,Second Harvest GDD
14A0732,Wuh09093i,5,392.15,392.15
14A0733,Wuh09183i,6,400.75,400.75
14A0734,IL767b,6,470.3,470.3
14A0735,IL676a,5,407.3,407.3
14A0736,Check3,6,412.3,412.3
14A0737,Wh93006,3,412.3,412.3
14A0738,83612b,6,407.3,407.3
14A0739,IL803a,5,470.3,470.3
14A0740,Wh10035R,7,392,392
14A0741,P39xRp1d,6,428.3,428.3
14A0742,M45,6,388.05,388.05
14A0743,Check2,7,406.65,406.65
14A0744,IL279AxRp1d,5,404.8,404.8
14A0745,Wh96034,3,417.35,373.75
14A0746,ILB5765,9,622.95,622.95
14A0747,Wh10110R,5,420.6,420.6
14A0748,Wh07165R,3,No Harvest Date Recorded,No Harvest Date Recorded
14A0749,C8w,6,412.3,412.3
14A0750,Wu99811,5,429.3,429.3
14A0751,IL779a,6,435.8,435.8
14A0752,Sweet Buns,5,400,400
14A0753,Wh9261,6,392,392
14A0754,Wh07166R,5,412.3,412.3
14A0755,Check2,7,406.65,406.65
14A0756,MDM-19,6,401.8,401.8
14A0757,Wh09126R,6,388.05,388.05
14A0758,Wh07051,5,401.8,401.8
14A0759,IL751a,5,418.3,418.3
14A0760,Wh10006R,5,435.8,435.8
14A0761,IaEV3015,6,415.3,415.3
14A0762,MDM-21,12,407.3,407.3
14A0763,Check3,8,412.3,412.3
14A0764,ILB5870,5,428.45,428.45
14A0765,Sweet Buns,5,400,400
14A0766,Wuh07481i,6,420.6,420.6
14A0767,Wh96015,5,400.75,400.75
14A0768,Wh09033,5,428.3,428.3
14A0769,Sweet Buns,6,404.25,404.25
14A0770,SD176,5,392.15,392.15
14A0771,P39LE-3502:61,2,,
14A0772,Sweet Buns,5,392,392
14A0773,IL776a,3,No Harvest Date Recorded,No Harvest Date Recorded
